date,feature_index,SO2
2025-09-03T00:00:00.000Z,0,9.934690751833841E-5
2025-09-04T00:00:00.000Z,0,2.071169715236465E-4
2025-09-02T00:00:00.000Z,0,-1.4200724422153144E-5
2025-08-30T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,-4.377235654828837E-5
2025-09-01T00:00:00.000Z,0,5.688689573920177E-4
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,9.654811020591106E-6
2025-09-14T00:00:00.000Z,0,1.0687493590921804E-4
2025-09-19T00:00:00.000Z,0,-5.448518015782611E-5
2025-09-13T00:00:00.000Z,0,1.57930370410971E-4
2025-09-17T00:00:00.000Z,0,2.7708104343301702E-5
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,-9.373854845762253E-5
2025-10-02T00:00:00.000Z,0,-5.3420855362095274E-5
2025-10-06T00:00:00.000Z,0,9.977276749850716E-5
2025-10-04T00:00:00.000Z,0,1.1830790238794482E-4
2025-10-03T00:00:00.000Z,0,-7.777562359478907E-5
2025-10-05T00:00:00.000Z,0,-9.913824002675635E-5
2025-09-29T00:00:00.000Z,0,5.2043011692148866E-5
2025-10-18T00:00:00.000Z,0,-1.0330517155428727E-4
2025-10-19T00:00:00.000Z,0,-9.664468886209457E-6
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,1.967279219267463E-4
2025-10-20T00:00:00.000Z,0,-1.2460003836167743E-4
2025-10-15T00:00:00.000Z,0,4.241889049202049E-5
2025-10-21T00:00:00.000Z,0,-6.906931230332702E-5
2025-10-17T00:00:00.000Z,0,7.024268264406904E-5
2025-11-06T00:00:00.000Z,0,-9.15262135094963E-5
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,-5.543363901476065E-5
2025-11-02T00:00:00.000Z,0,
2025-11-04T00:00:00.000Z,0,
2025-11-07T00:00:00.000Z,0,
2025-11-01T00:00:00.000Z,0,-1.369430246995762E-4
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,-0.0010293289960827678
2025-11-17T00:00:00.000Z,0,-1.78987902472727E-5
2025-11-22T00:00:00.000Z,0,3.567906787793618E-5
2025-11-23T00:00:00.000Z,0,
2025-11-18T00:00:00.000Z,0,-1.3010633119847625E-4
2025-11-21T00:00:00.000Z,0,
2025-11-16T00:00:00.000Z,0,
2025-12-15T00:00:00.000Z,0,-1.0144748011953197E-4
2025-12-10T00:00:00.000Z,0,1.8801500118570402E-4
2025-12-16T00:00:00.000Z,0,-9.752667065185961E-5
2025-12-17T00:00:00.000Z,0,5.051084347466409E-5
2025-12-12T00:00:00.000Z,0,-9.662523818102878E-6
2025-12-13T00:00:00.000Z,0,8.830580536596244E-5
2025-12-11T00:00:00.000Z,0,
2025-12-14T00:00:00.000Z,0,
2026-02-25T00:00:00.000Z,0,-7.804342749295756E-5
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,-2.077394223306328E-4
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,-2.737776594585739E-5
2026-02-27T00:00:00.000Z,0,1.10677300426687E-4
2026-03-19T00:00:00.000Z,0,-2.365221792966953E-5
2026-03-16T00:00:00.000Z,0,2.876025852553236E-5
2026-03-21T00:00:00.000Z,0,3.0242536922742147E-5
2026-03-22T00:00:00.000Z,0,2.585023412393639E-5
2026-03-23T00:00:00.000Z,0,-3.4934136976971786E-5
2026-03-20T00:00:00.000Z,0,1.3225441216491163E-4
2026-03-17T00:00:00.000Z,0,-1.6902811391143285E-5
2026-03-18T00:00:00.000Z,0,4.889035911522418E-5
2026-04-16T00:00:00.000Z,0,1.2883158099915212E-4
2026-04-13T00:00:00.000Z,0,3.196320031406685E-5
2026-04-15T00:00:00.000Z,0,-1.480039160621042E-5
2026-04-12T00:00:00.000Z,0,-1.7681020350816348E-4
2026-04-10T00:00:00.000Z,0,-1.97874142031651E-5
2026-04-11T00:00:00.000Z,0,-3.083280231900668E-5
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,5.656816065311432E-5
2026-05-21T00:00:00.000Z,0,1.6307676901305967E-5
2026-05-19T00:00:00.000Z,0,2.6062525042410317E-4
2026-05-23T00:00:00.000Z,0,-3.40099235472735E-5
2026-05-25T00:00:00.000Z,0,
2026-05-26T00:00:00.000Z,0,2.44999485706406E-5
2026-05-20T00:00:00.000Z,0,2.7238916610864788E-5
2026-05-22T00:00:00.000Z,0,-1.6826082325375562E-5
