date,feature_index,O3
2025-08-25T00:00:00.000Z,0,0.1167105806144801
2025-08-26T00:00:00.000Z,0,0.11513456790284678
2025-08-27T00:00:00.000Z,0,0.11617464199662209
2025-08-24T00:00:00.000Z,0,
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,0.11590847326442599
2025-09-18T00:00:00.000Z,0,0.11518736508759585
2025-09-15T00:00:00.000Z,0,0.11563691747459498
2025-09-14T00:00:00.000Z,0,0.115263836288994
2025-09-19T00:00:00.000Z,0,0.11181531914255836
2025-09-13T00:00:00.000Z,0,0.11506228982047602
2025-09-17T00:00:00.000Z,0,0.11500483175570314
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,0.1126291424036026
2025-10-02T00:00:00.000Z,0,0.11529852909610626
2025-10-06T00:00:00.000Z,0,0.11824144863269546
2025-10-04T00:00:00.000Z,0,0.11480037705464796
2025-10-03T00:00:00.000Z,0,0.11605711789293723
2025-10-05T00:00:00.000Z,0,0.11598341329531237
2025-09-29T00:00:00.000Z,0,0.11599186116998846
2025-11-06T00:00:00.000Z,0,0.11294174004684795
2025-11-03T00:00:00.000Z,0,0.1161379208167394
2025-11-05T00:00:00.000Z,0,0.11636526720090345
2025-10-31T00:00:00.000Z,0,0.11500583480704915
2025-11-02T00:00:00.000Z,0,0.11546493768692016
2025-11-04T00:00:00.000Z,0,0.11448149992661043
2025-11-07T00:00:00.000Z,0,0.11482015096328475
2025-11-01T00:00:00.000Z,0,0.11504013484174555
2026-01-01T00:00:00.000Z,0,0.11422841027379035
2025-12-29T00:00:00.000Z,0,0.11450730006803166
2026-01-02T00:00:00.000Z,0,0.10990347029133277
2025-12-28T00:00:00.000Z,0,0.114384183219888
2025-12-30T00:00:00.000Z,0,0.11458230242133141
2025-12-31T00:00:00.000Z,0,0.11349926076152107
2025-12-26T00:00:00.000Z,0,0.11488032625480131
2025-12-27T00:00:00.000Z,0,0.11311992813240399
2026-02-14T00:00:00.000Z,0,0.11172275638038462
2026-02-13T00:00:00.000Z,0,0.11320936734026128
2026-02-16T00:00:00.000Z,0,0.11397628431970423
2026-02-19T00:00:00.000Z,0,0.11164406260306185
2026-02-18T00:00:00.000Z,0,0.11407163190570745
2026-02-15T00:00:00.000Z,0,0.11199655749581076
2026-02-12T00:00:00.000Z,0,0.11361283951184967
2026-02-17T00:00:00.000Z,0,0.11402829905802553
2026-05-06T00:00:00.000Z,0,0.11863283095034687
2026-05-03T00:00:00.000Z,0,0.11589574360034682
2026-05-04T00:00:00.000Z,0,0.11800369803201069
2026-05-05T00:00:00.000Z,0,
2025-09-08T00:00:00.000Z,0,0.11208193085410378
2025-09-10T00:00:00.000Z,0,0.11557417423887686
2025-09-12T00:00:00.000Z,0,0.11455067165873267
2025-09-11T00:00:00.000Z,0,0.11575256857005033
2025-09-06T00:00:00.000Z,0,0.11306372772563587
