date,feature_index,SO2
2025-09-25T00:00:00.000Z,0,1.073058996216612E-4
2025-09-27T00:00:00.000Z,0,3.8424621278098036E-5
2025-09-23T00:00:00.000Z,0,1.5504166136592036E-4
2025-09-24T00:00:00.000Z,0,9.676046627841321E-5
2025-09-21T00:00:00.000Z,0,-2.409648394598545E-5
2025-09-22T00:00:00.000Z,0,1.5092573934712814E-4
2025-09-28T00:00:00.000Z,0,1.820020858960763E-7
2025-09-26T00:00:00.000Z,0,6.477499312263807E-5
2025-12-19T00:00:00.000Z,0,1.0501289580133744E-5
2025-12-23T00:00:00.000Z,0,1.9024923823088977E-5
2025-12-18T00:00:00.000Z,0,-9.384918003514244E-8
2025-12-25T00:00:00.000Z,0,5.143175597120055E-5
2025-12-21T00:00:00.000Z,0,
2025-12-24T00:00:00.000Z,0,1.2454613328293858E-6
2025-12-20T00:00:00.000Z,0,-3.238702746395055E-5
2025-12-22T00:00:00.000Z,0,-8.805836729414896E-6
2026-06-03T00:00:00.000Z,0,-1.4146137868081095E-5
2026-05-29T00:00:00.000Z,0,9.327149551524474E-5
2026-06-02T00:00:00.000Z,0,9.733222103671207E-6
2026-06-01T00:00:00.000Z,0,-2.3870970349604497E-5
2026-05-30T00:00:00.000Z,0,1.61224386959345E-4
2026-05-28T00:00:00.000Z,0,-2.266909203632256E-5
2026-05-27T00:00:00.000Z,0,1.4578405495574935E-4
2026-05-31T00:00:00.000Z,0,6.718822389164258E-5
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,-8.046810093219392E-4
2025-11-17T00:00:00.000Z,0,3.5661763467942366E-5
2025-11-22T00:00:00.000Z,0,-3.411522196616266E-5
2025-11-23T00:00:00.000Z,0,3.344647830446917E-5
2025-11-18T00:00:00.000Z,0,6.762228859467238E-5
2025-11-21T00:00:00.000Z,0,
2025-11-16T00:00:00.000Z,0,-8.679167755569021E-5
2026-02-04T00:00:00.000Z,0,3.412479681486968E-5
2026-02-05T00:00:00.000Z,0,7.190775350965042E-6
2026-02-11T00:00:00.000Z,0,2.6259160317989116E-5
2026-02-06T00:00:00.000Z,0,3.864351927924352E-5
2026-02-09T00:00:00.000Z,0,1.2617841760705537E-4
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,-1.0857611950517534E-4
2026-02-10T00:00:00.000Z,0,5.5670089662476866E-5
2026-05-21T00:00:00.000Z,0,4.266269633265006E-5
2026-05-19T00:00:00.000Z,0,1.7222749504150811E-4
2026-05-23T00:00:00.000Z,0,8.693436991409247E-5
2026-05-25T00:00:00.000Z,0,5.12562759240609E-5
2026-05-26T00:00:00.000Z,0,8.389987319058065E-6
2026-05-20T00:00:00.000Z,0,2.6276233273035488E-5
2026-05-22T00:00:00.000Z,0,-2.7960175030885795E-5
2026-05-24T00:00:00.000Z,0,6.146291371973539E-5
2026-06-06T00:00:00.000Z,0,-2.8418974910125957E-5
2026-06-11T00:00:00.000Z,0,9.457566025722136E-5
2026-06-05T00:00:00.000Z,0,3.900301571690345E-6
2026-06-07T00:00:00.000Z,0,3.178336301061791E-5
2026-06-10T00:00:00.000Z,0,2.4508282165266586E-4
2026-06-09T00:00:00.000Z,0,7.35094319349049E-5
2026-06-08T00:00:00.000Z,0,2.978028989384477E-4
2026-06-04T00:00:00.000Z,0,1.1531457064186477E-5
2025-09-03T00:00:00.000Z,0,1.2937963986111618E-4
2025-09-04T00:00:00.000Z,0,1.7229454914242871E-4
2025-09-02T00:00:00.000Z,0,-4.07734715213925E-6
2025-08-29T00:00:00.000Z,0,-7.51582105554657E-5
2025-08-30T00:00:00.000Z,0,9.375638281502081E-5
2025-08-28T00:00:00.000Z,0,7.381744356543525E-5
2025-08-31T00:00:00.000Z,0,-5.6320220397430926E-5
2025-09-01T00:00:00.000Z,0,3.9442147403683696E-4
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,-2.0331888565025923E-5
2025-10-02T00:00:00.000Z,0,-3.943854356890291E-5
2025-10-06T00:00:00.000Z,0,1.9269101887920265E-5
2025-10-04T00:00:00.000Z,0,1.6490831450308554E-4
2025-10-03T00:00:00.000Z,0,1.9160027550977322E-6
2025-10-05T00:00:00.000Z,0,8.762264783132088E-6
2025-09-29T00:00:00.000Z,0,1.2598889524644405E-5
2025-10-27T00:00:00.000Z,0,1.5740410202108086E-4
2025-10-23T00:00:00.000Z,0,2.665173683040352E-6
2025-10-29T00:00:00.000Z,0,-4.8680252803023905E-5
2025-10-26T00:00:00.000Z,0,8.17305072966216E-5
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,1.3349465823408444E-5
2025-10-25T00:00:00.000Z,0,4.505329707171768E-5
2025-10-24T00:00:00.000Z,0,-1.937544784595957E-4
2025-12-15T00:00:00.000Z,0,8.880854409198947E-7
2025-12-10T00:00:00.000Z,0,6.0089917993040714E-5
2025-12-16T00:00:00.000Z,0,-1.0135673985013599E-6
2025-12-17T00:00:00.000Z,0,5.266903817933851E-6
2025-12-12T00:00:00.000Z,0,-7.320678867232208E-6
2025-12-13T00:00:00.000Z,0,7.252286340425835E-5
2025-12-11T00:00:00.000Z,0,
2025-12-14T00:00:00.000Z,0,
2026-05-08T00:00:00.000Z,0,1.8490376176239143E-4
2026-05-06T00:00:00.000Z,0,2.373501579443525E-4
2026-05-10T00:00:00.000Z,0,6.680388317943325E-5
2026-05-03T00:00:00.000Z,0,3.170901093833086E-5
2026-05-07T00:00:00.000Z,0,2.1127146725451565E-5
2026-05-09T00:00:00.000Z,0,6.099976654209164E-5
2026-05-04T00:00:00.000Z,0,1.6570186565359386E-5
2026-05-05T00:00:00.000Z,0,
2026-01-03T00:00:00.000Z,0,2.115734932885971E-4
2026-01-04T00:00:00.000Z,0,2.0304838743028926E-5
2026-01-06T00:00:00.000Z,0,3.139489759073163E-5
2026-01-10T00:00:00.000Z,0,8.153323530925924E-5
2026-01-07T00:00:00.000Z,0,-1.876698164043309E-5
2026-01-08T00:00:00.000Z,0,2.1079781940771782E-5
2026-01-05T00:00:00.000Z,0,-8.516218506635845E-6
2026-01-09T00:00:00.000Z,0,-3.790064686157011E-5
2026-02-25T00:00:00.000Z,0,-1.3695720281248213E-5
2026-02-23T00:00:00.000Z,0,-4.1734694968909025E-4
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,-6.0999199478020375E-5
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,-4.2549588518644064E-5
2026-02-20T00:00:00.000Z,0,2.6742041923584608E-5
2026-02-27T00:00:00.000Z,0,5.000680912895692E-5
2026-03-19T00:00:00.000Z,0,1.7643442716095222E-5
2026-03-16T00:00:00.000Z,0,9.087140888652812E-6
2026-03-21T00:00:00.000Z,0,3.124312313755379E-5
2026-03-22T00:00:00.000Z,0,-1.8358469337429502E-5
2026-03-23T00:00:00.000Z,0,-1.5737273400162622E-5
2026-03-20T00:00:00.000Z,0,4.591202991832688E-5
2026-03-17T00:00:00.000Z,0,1.6589798582976477E-5
2026-03-18T00:00:00.000Z,0,9.635942842789046E-6
2026-04-21T00:00:00.000Z,0,2.3733250500609674E-4
2026-04-20T00:00:00.000Z,0,-1.4349324441422208E-6
2026-04-19T00:00:00.000Z,0,-1.0951708645023928E-5
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,8.377419835950013E-5
2026-04-17T00:00:00.000Z,0,1.3984739825688262E-4
2026-04-24T00:00:00.000Z,0,3.9407142996519964E-5
2026-04-23T00:00:00.000Z,0,1.2971786930840666E-5
2026-07-31T00:00:00.000Z,0,2.767127656568391E-5
2026-08-01T00:00:00.000Z,0,4.3106007344146555E-5
2026-08-06T00:00:00.000Z,0,6.525988923537322E-5
2026-07-30T00:00:00.000Z,0,6.777040543046825E-5
2026-08-04T00:00:00.000Z,0,-2.6539940175373404E-5
2026-08-05T00:00:00.000Z,0,4.3659784787727164E-5
2026-08-02T00:00:00.000Z,0,-4.307172694441177E-5
2026-08-03T00:00:00.000Z,0,-2.5988486513223543E-5
2026-02-03T00:00:00.000Z,0,1.351914475478111E-5
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,3.7349763002881584E-5
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,-1.166706043258722E-5
2026-02-02T00:00:00.000Z,0,
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,1.6271950492544555E-6
2026-06-13T00:00:00.000Z,0,7.807905717357638E-5
2026-06-16T00:00:00.000Z,0,1.4113297916496363E-4
2026-06-15T00:00:00.000Z,0,9.374427936847951E-5
2026-06-19T00:00:00.000Z,0,2.5229754695111305E-4
2026-06-18T00:00:00.000Z,0,1.6028821473574285E-4
2026-06-14T00:00:00.000Z,0,1.1863971450687734E-4
2026-06-17T00:00:00.000Z,0,6.689128697685827E-5
2026-06-12T00:00:00.000Z,0,-8.741648052819073E-5
2026-07-02T00:00:00.000Z,0,3.9057977955963E-5
2026-07-04T00:00:00.000Z,0,1.2599095135129264E-4
2026-07-03T00:00:00.000Z,0,9.760698943691317E-5
2026-07-01T00:00:00.000Z,0,1.0096794056536103E-4
2026-06-29T00:00:00.000Z,0,1.252604415020125E-5
2026-06-30T00:00:00.000Z,0,1.4252080775659952E-4
2026-07-05T00:00:00.000Z,0,9.970460846434215E-5
2026-06-28T00:00:00.000Z,0,1.6138888439031906E-4
2026-07-28T00:00:00.000Z,0,3.682170655996868E-5
2026-07-24T00:00:00.000Z,0,6.786040893075551E-5
2026-07-25T00:00:00.000Z,0,-1.1782820671545447E-5
2026-07-26T00:00:00.000Z,0,2.8229428627845655E-4
2026-07-22T00:00:00.000Z,0,-1.0061814826393081E-4
2026-07-29T00:00:00.000Z,0,3.206833006537611E-5
2026-07-23T00:00:00.000Z,0,7.564391745322139E-5
2026-07-27T00:00:00.000Z,0,-5.471160979758587E-5
2026-04-16T00:00:00.000Z,0,1.1173775345254911E-4
2026-04-13T00:00:00.000Z,0,1.472144582174216E-5
2026-04-15T00:00:00.000Z,0,3.985861770615884E-5
2026-04-12T00:00:00.000Z,0,3.40367367481003E-6
2026-04-10T00:00:00.000Z,0,2.7553890011707455E-5
2026-04-11T00:00:00.000Z,0,1.564278429100341E-4
2026-04-09T00:00:00.000Z,0,-4.274004477261091E-5
2026-04-14T00:00:00.000Z,0,8.387756996835007E-5
2026-07-21T00:00:00.000Z,0,1.5772336835385814E-5
2026-07-15T00:00:00.000Z,0,4.680275052591024E-5
2026-07-20T00:00:00.000Z,0,1.0799475660974167E-5
2026-07-17T00:00:00.000Z,0,7.602114976634766E-6
2026-07-16T00:00:00.000Z,0,1.0966996479383026E-4
2026-07-14T00:00:00.000Z,0,5.057970664217356E-5
2026-07-19T00:00:00.000Z,0,-3.848078455910701E-6
2026-07-18T00:00:00.000Z,0,2.277910672769205E-5
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,4.020784439973113E-6
2026-01-02T00:00:00.000Z,0,4.2529307863827725E-5
2025-12-28T00:00:00.000Z,0,-3.8958684725306134E-5
2025-12-30T00:00:00.000Z,0,6.788032793439116E-6
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,7.888764876909027E-5
2025-12-27T00:00:00.000Z,0,-2.7619591128313914E-4
2025-10-11T00:00:00.000Z,0,3.4566198345759685E-5
2025-10-12T00:00:00.000Z,0,-3.3078724166241754E-5
2025-10-14T00:00:00.000Z,0,-1.3562522175939725E-5
2025-10-09T00:00:00.000Z,0,-5.209308513561458E-5
2025-10-13T00:00:00.000Z,0,-2.035793573590107E-5
2025-10-10T00:00:00.000Z,0,9.599906737237592E-5
2025-10-07T00:00:00.000Z,0,-8.563731194457928E-5
2025-10-08T00:00:00.000Z,0,6.402144146082528E-5
2025-08-25T00:00:00.000Z,0,1.7397317518631237E-5
2025-08-26T00:00:00.000Z,0,-8.217998574705293E-5
2025-08-27T00:00:00.000Z,0,8.540692409903722E-5
2025-08-24T00:00:00.000Z,0,
2025-11-06T00:00:00.000Z,0,3.441402271972846E-5
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,5.45444186172972E-6
2025-11-02T00:00:00.000Z,0,8.69569080107015E-6
2025-11-04T00:00:00.000Z,0,4.016973416582914E-5
2025-11-07T00:00:00.000Z,0,1.7263332639621303E-4
2025-11-01T00:00:00.000Z,0,-2.8202874313954415E-5
2026-03-08T00:00:00.000Z,0,-8.885782790457597E-5
2026-03-09T00:00:00.000Z,0,2.4280637996324158E-5
2026-03-12T00:00:00.000Z,0,-3.488650750168964E-5
2026-03-10T00:00:00.000Z,0,2.206631604023737E-5
2026-03-13T00:00:00.000Z,0,4.544092678891422E-6
2026-03-15T00:00:00.000Z,0,-1.998954911204447E-6
2026-03-11T00:00:00.000Z,0,6.99750451044373E-5
2026-03-14T00:00:00.000Z,0,3.567056179917927E-5
2026-03-03T00:00:00.000Z,0,5.789416696228253E-6
2026-03-05T00:00:00.000Z,0,8.674974729469145E-5
2026-03-06T00:00:00.000Z,0,9.444475290365517E-5
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,-6.055983845365925E-5
2026-03-04T00:00:00.000Z,0,1.3924048895811817E-5
2026-02-28T00:00:00.000Z,0,-1.319021276885462E-4
2026-03-07T00:00:00.000Z,0,1.562317174830241E-4
2026-04-06T00:00:00.000Z,0,2.0380057379621906E-5
2026-04-02T00:00:00.000Z,0,1.12929531566736E-4
